,instant1,auto1,tr1_tP,tr1_t50
p_mean,0.35619569429959447,-0.32526830416496255,-0.23771347362045883,-0.2823299515890375
pet_mean,0.007012978506130117,0.31449866224964473,0.2741984040009179,0.3481114373371755
p_seasonality,-0.2875033607546846,-0.02425725690516135,-0.08015294104252275,-0.11160689903400392
frac_snow,-0.1527247878811072,0.2451437651691584,0.28669454462461597,0.39494122923952285
aridity,-0.24040659219261412,0.3970022830969086,0.35673039779902804,0.4212996194942793
high_prec_freq,-0.15674464857313117,0.30614114775817036,0.24542488330366155,0.24183075854534292
high_prec_dur,-0.027103972105376038,0.3903922965242075,0.28373492417332125,0.31919416529078826
low_prec_freq,-0.17743059852763615,0.38155807711903905,0.24297299323983063,0.2646649343410581
low_prec_dur,-0.09908786210431865,0.3937757265265578,0.25839978306825406,0.29459082441749246
glim_1st_class_frac,0.22830118010431133,-0.01716489242217004,-0.129816133916116,-0.1500760941909788
glim_2nd_class_frac,-0.18905898915602865,-0.0460876896606598,0.04706211245743482,0.06036392200183209
carbonate_rocks_frac,0.07092881597759006,0.138565073071873,-0.0059927056942286165,-0.03168034968242184
geol_porostiy,0.006308087014461175,-0.018337947464575975,0.038790238419832694,0.027769233759789985
geol_permeability,0.004114319255220986,0.18021853955762887,0.02266601495383335,0.027685610392391563
q_mean,0.3694964877275979,-0.23154620055701589,-0.1651371780734296,-0.18626105498563292
runoff_ratio,0.3103703941359714,-0.22004201858408343,-0.16862542202312159,-0.16703139114008303
slope_fdc,0.01612460854281066,-0.3944959436737311,-0.22904348076006686,-0.2653264878900791
baseflow_index,-0.2643209600395211,-0.1343113557536989,0.1074669614164977,0.1367708911396113
stream_elas,-0.10250826109867477,0.11353806325868789,0.030827863451520027,0.06169951177252826
q5,0.20658607406423635,-0.08276054155863684,-0.05679627681548582,-0.05704614984438144
q95,0.3713999997647425,-0.22299625985988072,-0.16186115713751428,-0.17316436839767016
high_q_freq,0.12491425069387221,0.28763577601622303,0.07177787313189479,0.08746611189403108
high_q_dur,-0.16646585806863545,0.3114361685684075,0.34636466182861114,0.4536187294382438
low_q_freq,0.17842914876125443,0.20150567063227384,-0.016790371624474495,-0.027387385061302148
low_q_dur,0.013240014423234298,0.12413482055819723,0.010278582967636668,0.01673686351917787
zero_q_freq,0.13934394324491703,0.17602227446338448,0.0010977559781435982,-0.012525791387752061
hfd_mean,-0.32692168600323873,0.28353186262658525,0.2662840527529336,0.3530191038239499
soil_depth_pelletier,0.01463057867376317,-0.02276158574339854,-0.11410023103062125,-0.14238155772412794
soil_depth_statsgo,-0.10102500368543076,-0.06540831811785695,-0.167436314851145,-0.14285977120317833
soil_porosity,0.06491945419542285,-0.01818572578737846,-0.08397053167290557,-0.102507508528766
soil_conductivity,-0.10103431182685595,-0.06850965445179091,0.0006432681867312164,0.010587987175443124
max_water_content,0.004950623142721844,-0.10281050880300326,-0.17903563968076788,-0.1744355295599943
sand_frac,-0.10673672192694597,-0.10420938723659194,0.025183435497355893,0.03805024137419449
silt_frac,0.23537448795127416,-0.10590469762752901,-0.10171928125208736,-0.12817731066563298
clay_frac,0.05700786375556823,0.13273842136257483,-0.005460615364215306,-0.00741655047260357
water_frac,-0.012634118509268473,-0.0069671197179286826,-0.03728604977331553,-0.04407916249209452
organic_frac,-0.08884101388130825,-0.0306949868123718,-0.0344205865888373,-0.03220782501742511
other_frac,-0.09869851053023203,0.1753970377619897,0.08270804897604382,0.101991953534901
gauge_lat,0.017799805057090817,-0.05879297419556606,-0.023306952184773792,-0.03538166871167884
gauge_lon,-0.01727554784902123,-0.35845452178464415,-0.2558646753470033,-0.32355871047417223
elev_mean,-0.18991303743021193,0.30688687540055076,0.32993375348439696,0.43937308707170925
slope_mean,0.03651135848703323,0.11881580523737038,0.21701459244582347,0.29661302175405113
area_gages2,-0.33223777200798027,-0.2646767795794259,-0.13558767039887318,-0.15459315992736442
area_geospa_fabric,-0.33271567264631513,-0.263950305947281,-0.13572372840908095,-0.15467292556735698
frac_forest,0.06886807942862609,-0.27919063022399154,-0.17599227597310338,-0.19535118470451815
lai_max,0.07542293663406782,-0.44605223179677084,-0.26611088166478386,-0.3219081345748925
lai_diff,0.05894333781599206,-0.44844546423022774,-0.2669389094614419,-0.32755352154364337
gvf_max,0.11228159286283551,-0.442710483278717,-0.30105553603699337,-0.35492963914823
gvf_diff,0.010097076889082,-0.3323467610291428,-0.22467235335369612,-0.2811255532900681
dom_land_cover_frac,-0.014254197738022568,-0.09559454403765917,-0.0500121567933161,-0.07173692781160358
root_depth_50,0.11664775306026856,-0.2938477728957837,-0.29417967072397944,-0.35672996734132634
root_depth_99,0.009967433218341757,-0.22026732490774553,-0.167222693790883,-0.19676879212676096
